atm_id,lat,lon,bank_name,district,state,historical_fraud_count,atm_fraud_rate_last_30days
ATM_GHA_000,28.6849,77.4192,HDFC,Ghaziabad,Uttar Pradesh,180,0.051
ATM_PAT_001,25.6557,85.2396,PNB,Patna,Bihar,85,0.321
ATM_MEW_002,27.9053,77.0266,SBI,Mewat,Haryana,41,0.183
ATM_NOI_003,28.5354,77.3503,ICICI,Noida,Uttar Pradesh,165,0.288
ATM_PAT_004,25.5924,85.0716,SBI,Patna,Bihar,37,0.17
ATM_JAM_005,23.8609,86.6587,PNB,Jamtara,Jharkhand,65,0.267
ATM_MEW_006,28.1381,77.1373,Axis,Mewat,Haryana,62,0.336
ATM_MAT_007,27.5187,77.5504,ICICI,Mathura,Uttar Pradesh,139,0.169
ATM_HYD_008,17.2876,78.4596,PNB,Hyderabad,Telangana,72,0.01
ATM_JAM_009,24.0797,86.7774,HDFC,Jamtara,Jharkhand,144,0.069
ATM_MAT_010,27.5678,77.5334,ICICI,Mathura,Uttar Pradesh,92,0.138
ATM_BHA_011,27.2737,77.3465,HDFC,Bharatpur,Rajasthan,24,0.308
ATM_BHA_012,27.2735,77.4104,HDFC,Bharatpur,Rajasthan,119,0.137
ATM_MAT_013,27.615,77.6894,Axis,Mathura,Uttar Pradesh,28,0.322
ATM_NOI_014,28.6299,77.5028,PNB,Noida,Uttar Pradesh,26,0.105
ATM_GHA_015,28.6565,77.5625,SBI,Ghaziabad,Uttar Pradesh,119,0.021
ATM_JAM_016,23.8318,86.892,HDFC,Jamtara,Jharkhand,37,0.148
ATM_MAT_017,27.4678,77.6092,HDFC,Mathura,Uttar Pradesh,120,0.097
ATM_JAI_018,26.9287,75.9245,ICICI,Jaipur,Rajasthan,38,0.054
ATM_GHA_019,28.6232,77.5069,HDFC,Ghaziabad,Uttar Pradesh,75,0.3
ATM_MAT_020,27.3503,77.5249,Axis,Mathura,Uttar Pradesh,84,0.106
ATM_LUC_021,26.9961,80.9488,HDFC,Lucknow,Uttar Pradesh,168,0.322
ATM_NOI_022,28.6376,77.4191,SBI,Noida,Uttar Pradesh,71,0.334
ATM_JAI_023,26.9401,75.9098,Axis,Jaipur,Rajasthan,93,0.179
ATM_JAM_024,23.9844,86.8475,ICICI,Jamtara,Jharkhand,123,0.21
ATM_JAM_025,23.9553,86.8557,SBI,Jamtara,Jharkhand,137,0.232
ATM_NOI_026,28.6181,77.4464,HDFC,Noida,Uttar Pradesh,93,0.11
ATM_MAT_027,27.5527,77.7575,Axis,Mathura,Uttar Pradesh,52,0.34
ATM_JAI_028,26.9586,75.7041,Axis,Jaipur,Rajasthan,111,0.084
ATM_MEW_029,28.0453,76.9553,ICICI,Mewat,Haryana,96,0.015
ATM_NOI_030,28.6176,77.4791,SBI,Noida,Uttar Pradesh,59,0.025
ATM_JAI_031,27.0076,75.8899,SBI,Jaipur,Rajasthan,10,0.171
ATM_JAI_032,26.9466,75.9334,Axis,Jaipur,Rajasthan,65,0.184
ATM_PAT_033,25.536,85.0653,PNB,Patna,Bihar,32,0.315
ATM_HYD_034,17.4285,78.472,PNB,Hyderabad,Telangana,81,0.014
ATM_HYD_035,17.4798,78.5763,PNB,Hyderabad,Telangana,181,0.179
ATM_LUC_036,26.977,81.0281,Axis,Lucknow,Uttar Pradesh,106,0.027
ATM_MAT_037,27.4527,77.6778,HDFC,Mathura,Uttar Pradesh,63,0.238
ATM_GHA_038,28.6267,77.5008,HDFC,Ghaziabad,Uttar Pradesh,170,0.235
ATM_JAI_039,26.7988,75.7027,PNB,Jaipur,Rajasthan,135,0.141
ATM_GHA_040,28.7305,77.4732,ICICI,Ghaziabad,Uttar Pradesh,23,0.296
ATM_GHA_041,28.5896,77.5356,HDFC,Ghaziabad,Uttar Pradesh,193,0.187
ATM_MEW_042,27.9445,77.0219,PNB,Mewat,Haryana,109,0.311
ATM_JAI_043,26.9742,75.6902,SBI,Jaipur,Rajasthan,79,0.106
ATM_BHA_044,27.1031,77.6114,ICICI,Bharatpur,Rajasthan,162,0.332
ATM_HYD_045,17.2467,78.408,Axis,Hyderabad,Telangana,25,0.094
ATM_MEW_046,27.9399,76.9678,PNB,Mewat,Haryana,165,0.331
ATM_MEW_047,27.9679,77.0297,SBI,Mewat,Haryana,18,0.121
ATM_HYD_048,17.2447,78.626,HDFC,Hyderabad,Telangana,70,0.257
ATM_JAI_049,26.9646,75.8658,PNB,Jaipur,Rajasthan,45,0.081
ATM_LUC_050,26.9464,80.842,Axis,Lucknow,Uttar Pradesh,186,0.201
ATM_NOI_051,28.3923,77.4364,SBI,Noida,Uttar Pradesh,152,0.16
ATM_JAM_052,24.038,86.7556,SBI,Jamtara,Jharkhand,199,0.09
ATM_NOI_053,28.4194,77.352,ICICI,Noida,Uttar Pradesh,105,0.212
ATM_JAM_054,24.0475,86.6923,Axis,Jamtara,Jharkhand,187,0.102
ATM_NOI_055,28.4041,77.5173,PNB,Noida,Uttar Pradesh,136,0.336
ATM_MEW_056,27.9765,77.0341,PNB,Mewat,Haryana,97,0.237
ATM_JAM_057,23.8948,86.8803,ICICI,Jamtara,Jharkhand,53,0.273
ATM_MAT_058,27.4884,77.6776,HDFC,Mathura,Uttar Pradesh,16,0.127
ATM_MAT_059,27.5936,77.7784,SBI,Mathura,Uttar Pradesh,97,0.249
ATM_JAM_060,23.9812,86.8769,Axis,Jamtara,Jharkhand,52,0.126
ATM_LUC_061,26.7375,80.9698,SBI,Lucknow,Uttar Pradesh,11,0.122
ATM_JAI_062,27.0035,75.7138,HDFC,Jaipur,Rajasthan,50,0.104
ATM_NOI_063,28.5369,77.4475,SBI,Noida,Uttar Pradesh,108,0.187
ATM_PAT_064,25.4753,85.1975,HDFC,Patna,Bihar,140,0.321
ATM_MEW_065,27.8776,76.9346,PNB,Mewat,Haryana,114,0.236
ATM_GHA_066,28.7436,77.4588,HDFC,Ghaziabad,Uttar Pradesh,120,0.015
ATM_BHA_067,27.2289,77.4888,HDFC,Bharatpur,Rajasthan,86,0.232
ATM_JAI_068,26.9413,75.9375,HDFC,Jaipur,Rajasthan,173,0.171
ATM_HYD_069,17.3596,78.6156,SBI,Hyderabad,Telangana,132,0.266
ATM_JAM_070,23.9198,86.782,ICICI,Jamtara,Jharkhand,174,0.334
ATM_LUC_071,26.8913,80.9431,Axis,Lucknow,Uttar Pradesh,168,0.056
ATM_MAT_072,27.5395,77.7041,PNB,Mathura,Uttar Pradesh,106,0.252
ATM_LUC_073,26.7515,81.0421,HDFC,Lucknow,Uttar Pradesh,102,0.27
ATM_LUC_074,26.7156,80.9986,ICICI,Lucknow,Uttar Pradesh,161,0.272
ATM_MAT_075,27.501,77.8048,HDFC,Mathura,Uttar Pradesh,186,0.344
ATM_MAT_076,27.4141,77.7189,Axis,Mathura,Uttar Pradesh,5,0.046
ATM_HYD_077,17.4556,78.4476,HDFC,Hyderabad,Telangana,137,0.03
ATM_BHA_078,27.1757,77.4699,ICICI,Bharatpur,Rajasthan,169,0.342
ATM_LUC_079,26.7087,81.06,Axis,Lucknow,Uttar Pradesh,30,0.026
ATM_NOI_080,28.4205,77.479,PNB,Noida,Uttar Pradesh,142,0.261
ATM_MEW_081,27.9252,77.1381,PNB,Mewat,Haryana,134,0.304
ATM_MEW_082,28.0201,77.0223,ICICI,Mewat,Haryana,22,0.086
