complaint_id,fraud_type,amount_lost,number_of_hops,victim_lat,victim_lon,withdrawal_lat,withdrawal_lon,beneficiary_bank,complaint_datetime,victim_district,victim_state,alert_level,is_insider_case,withdrawal_zone,freezable_amount,hour,is_weekend
CS2024000001,Romance Scam,1220.29,3,23.905574,87.013304,24.802864,88.604068,SBI,2024-08-25 23:04:00,Jamtara,Jharkhand,LOW,False,24.8_88.6,854.203,23,True
CS2024000002,Tech Support Fraud,12273.66,3,17.239745,78.425247,17.401566,78.918515,SBI,2024-08-29 16:12:00,Hyderabad,Telangana,LOW,False,17.4_78.9,8591.562,16,False
CS2024000003,OLX Scam,5599.69,1,28.368039,77.163573,28.538318,77.499384,HDFC,2024-04-11 22:19:00,Delhi NCR,Haryana,LOW,False,28.5_77.5,5599.69,22,False
CS2024000004,Job Fraud,1014.14,3,28.547443,76.751284,28.497268,76.387845,Kotak,2024-05-25 03:48:00,Delhi NCR,Haryana,LOW,False,28.5_76.4,709.8979999999999,3,True
CS2024000005,Job Fraud,1556.37,2,18.820343,72.701383,18.823022,72.677904,SBI,2024-04-05 17:09:00,Mumbai,Maharashtra,LOW,True,18.8_72.7,1400.733,17,False
CS2024000006,UPI Fraud,4610.26,3,18.866717,72.739004,18.791231,73.155117,ICICI,2024-09-01 07:49:00,Mumbai,Maharashtra,LOW,False,18.8_73.2,3227.182,7,True
CS2024000007,Job Fraud,786.2,1,12.830714,77.772266,13.051651,77.582482,BOB,2024-12-19 19:49:00,Bengaluru,Karnataka,LOW,False,13.1_77.6,786.2,19,False
CS2024000008,OLX Scam,14569.1,2,18.959054,72.765436,19.269906,72.485133,BOB,2024-09-05 08:37:00,Mumbai,Maharashtra,LOW,False,19.3_72.5,12383.735,8,False
CS2024000009,Romance Scam,19416.27,3,17.490118,78.57629,16.923411,78.619732,Axis,2024-05-13 23:56:00,Hyderabad,Telangana,LOW,False,16.9_78.6,13591.389,23,False
CS2024000010,Lottery Fraud,20646.46,3,28.610472,77.694326,28.256154,77.634101,Axis,2024-01-22 23:23:00,Delhi NCR,Haryana,LOW,False,28.3_77.6,14452.521999999999,23,False
CS2024000011,OLX Scam,25888.78,3,28.447761,76.803091,28.401967,76.368401,PNB,2024-01-07 14:14:00,Delhi,Delhi,LOW,False,28.4_76.4,18122.145999999997,14,True
CS2024000012,OLX Scam,17391.88,1,12.885029,77.712075,13.027802,77.476708,Kotak,2024-05-26 01:53:00,Bengaluru,Karnataka,LOW,False,13.0_77.5,17391.88,1,True
CS2024000013,OLX Scam,10233.39,2,19.058908,72.740545,19.184103,73.26351,SBI,2024-02-20 03:13:00,Mumbai,Maharashtra,LOW,False,19.2_73.3,8698.3815,3,False
CS2024000014,Romance Scam,53022.51,5,23.972925,86.912924,23.564807,88.225467,HDFC,2024-11-26 15:02:00,Jamtara,Jharkhand,MEDIUM,False,23.6_88.2,21209.004,15,False
CS2024000015,UPI Fraud,1530.95,3,28.84459,76.815807,28.06884,76.826454,ICICI,2024-06-22 03:27:00,Delhi,Delhi,LOW,False,28.1_76.8,1071.665,3,True
CS2024000016,Romance Scam,6104.72,4,12.845791,77.474055,11.802442,78.137024,Axis,2024-09-08 21:01:00,Bengaluru,Karnataka,MEDIUM,False,11.8_78.1,3357.5960000000005,21,True
CS2024000017,UPI Fraud,2837.26,4,12.867082,77.472699,12.551571,77.846614,ICICI,2024-06-20 18:42:00,Bengaluru,Karnataka,MEDIUM,False,12.6_77.8,1560.4930000000002,18,False
CS2024000018,KYC Fraud,1648.17,3,28.422241,77.312672,27.714567,77.105183,Axis,2024-04-29 14:05:00,Delhi,Delhi,LOW,False,27.7_77.1,1153.719,14,False
CS2024000019,UPI Fraud,304.0,4,24.162505,87.198604,24.584038,87.340128,Canara,2024-06-25 09:32:00,Jamtara,Jharkhand,MEDIUM,False,24.6_87.3,167.20000000000002,9,False
CS2024000020,Lottery Fraud,1208.04,2,19.229374,72.825581,19.102782,73.105543,HDFC,2024-03-15 13:31:00,Mumbai,Maharashtra,LOW,False,19.1_73.1,1026.8339999999998,13,False
CS2024000021,Lottery Fraud,1295.51,3,23.898077,86.859436,23.550107,87.388471,ICICI,2024-09-02 11:16:00,Jamtara,Jharkhand,LOW,False,23.6_87.4,906.857,11,False
CS2024000022,Lottery Fraud,6422.79,4,28.724771,77.15467,27.992988,75.740561,PNB,2024-11-03 07:45:00,Delhi,Delhi,MEDIUM,False,28.0_75.7,3532.5345,7,True
CS2024000023,Job Fraud,4085.88,1,28.863012,77.190548,28.695097,77.125206,Axis,2024-11-22 07:44:00,Delhi,Delhi,LOW,False,28.7_77.1,4085.88,7,False
CS2024000024,Tech Support Fraud,18349.67,2,28.838741,76.781108,28.908588,76.947199,HDFC,2024-10-04 07:56:00,Delhi NCR,Haryana,LOW,False,28.9_76.9,15597.219499999997,7,False
CS2024000025,Romance Scam,94255.37,5,28.862249,77.017803,28.481726,76.562872,Kotak,2024-08-14 20:00:00,Delhi,Delhi,MEDIUM,False,28.5_76.6,37702.148,20,False
CS2024000026,Romance Scam,26786.97,6,28.748577,77.342833,27.887058,76.722858,Axis,2024-05-27 06:01:00,Delhi,Delhi,MEDIUM,False,27.9_76.7,6696.7425,6,False
CS2024000027,Investment Scam,666315.1,10,28.410696,76.629184,29.754175,77.878302,Canara,2024-04-18 17:13:00,Delhi NCR,Haryana,HIGH,False,29.8_77.9,66631.51,17,False
CS2024000028,UPI Fraud,8085.97,3,13.014827,77.752586,13.052421,78.431322,HDFC,2024-05-01 23:57:00,Bengaluru,Karnataka,LOW,False,13.1_78.4,5660.179,23,False
CS2024000029,Romance Scam,35336.83,4,28.866096,77.177024,27.992923,77.599399,ICICI,2024-09-11 01:09:00,Delhi NCR,Haryana,MEDIUM,False,28.0_77.6,19435.256500000003,1,False
CS2024000030,Romance Scam,73952.03,5,17.499546,78.365738,17.538472,78.355089,Kotak,2024-06-05 21:39:00,Hyderabad,Telangana,MEDIUM,True,17.5_78.4,66556.827,21,False
