row_index,confidence,uncertainty_km,flag
16880,0.982,0.88,AUTO-DISPATCH OK
2630,0.982,0.88,AUTO-DISPATCH OK
47062,0.997,0.14,AUTO-DISPATCH OK
20529,0.995,0.24,AUTO-DISPATCH OK
1243,0.995,0.27,AUTO-DISPATCH OK
38658,0.995,0.25,AUTO-DISPATCH OK
33788,0.978,1.11,AUTO-DISPATCH OK
18616,0.989,0.56,AUTO-DISPATCH OK
24091,0.977,1.15,AUTO-DISPATCH OK
36582,0.996,0.22,AUTO-DISPATCH OK
22317,0.995,0.27,AUTO-DISPATCH OK
32310,0.993,0.36,AUTO-DISPATCH OK
37514,0.994,0.31,AUTO-DISPATCH OK
6113,0.989,0.53,AUTO-DISPATCH OK
4551,0.948,2.58,AUTO-DISPATCH OK
47788,0.887,5.63,AUTO-DISPATCH OK
29356,0.995,0.25,AUTO-DISPATCH OK
43627,0.995,0.23,AUTO-DISPATCH OK
2295,0.988,0.6,AUTO-DISPATCH OK
1852,0.97,1.52,AUTO-DISPATCH OK
29190,0.987,0.63,AUTO-DISPATCH OK
17889,0.983,0.83,AUTO-DISPATCH OK
36314,0.996,0.21,AUTO-DISPATCH OK
38275,0.994,0.32,AUTO-DISPATCH OK
26310,0.99,0.49,AUTO-DISPATCH OK
15311,0.996,0.18,AUTO-DISPATCH OK
34063,0.992,0.41,AUTO-DISPATCH OK
17826,0.994,0.28,AUTO-DISPATCH OK
12783,0.948,2.58,AUTO-DISPATCH OK
34168,0.966,1.72,AUTO-DISPATCH OK
26695,0.979,1.03,AUTO-DISPATCH OK
21887,0.996,0.19,AUTO-DISPATCH OK
24342,0.996,0.2,AUTO-DISPATCH OK
9665,0.994,0.29,AUTO-DISPATCH OK
20098,0.967,1.66,AUTO-DISPATCH OK
29084,0.955,2.25,AUTO-DISPATCH OK
37504,0.994,0.29,AUTO-DISPATCH OK
25452,0.995,0.25,AUTO-DISPATCH OK
3557,0.991,0.46,AUTO-DISPATCH OK
16837,0.993,0.36,AUTO-DISPATCH OK
17320,0.985,0.77,AUTO-DISPATCH OK
15398,0.976,1.21,AUTO-DISPATCH OK
8221,0.909,4.57,AUTO-DISPATCH OK
31924,0.995,0.25,AUTO-DISPATCH OK
7833,0.953,2.34,AUTO-DISPATCH OK
7083,0.996,0.21,AUTO-DISPATCH OK
39485,0.991,0.47,AUTO-DISPATCH OK
26446,0.995,0.25,AUTO-DISPATCH OK
9660,0.911,4.43,AUTO-DISPATCH OK
34057,0.987,0.63,AUTO-DISPATCH OK
25769,0.994,0.3,AUTO-DISPATCH OK
21951,0.994,0.31,AUTO-DISPATCH OK
2851,0.992,0.39,AUTO-DISPATCH OK
41071,0.992,0.38,AUTO-DISPATCH OK
1568,0.975,1.26,AUTO-DISPATCH OK
34942,0.994,0.32,AUTO-DISPATCH OK
4281,0.989,0.55,AUTO-DISPATCH OK
21840,0.995,0.27,AUTO-DISPATCH OK
32991,0.997,0.16,AUTO-DISPATCH OK
22058,0.996,0.21,AUTO-DISPATCH OK
27268,0.987,0.64,AUTO-DISPATCH OK
36238,0.986,0.68,AUTO-DISPATCH OK
43762,0.972,1.42,AUTO-DISPATCH OK
43479,0.993,0.35,AUTO-DISPATCH OK
19684,0.957,2.13,AUTO-DISPATCH OK
32575,0.989,0.54,AUTO-DISPATCH OK
27613,0.992,0.38,AUTO-DISPATCH OK
2518,0.997,0.16,AUTO-DISPATCH OK
16313,0.968,1.61,AUTO-DISPATCH OK
4841,0.995,0.25,AUTO-DISPATCH OK
17630,0.991,0.44,AUTO-DISPATCH OK
22557,0.971,1.46,AUTO-DISPATCH OK
46418,0.972,1.41,AUTO-DISPATCH OK
48769,0.989,0.55,AUTO-DISPATCH OK
40817,0.996,0.2,AUTO-DISPATCH OK
34918,0.988,0.58,AUTO-DISPATCH OK
5011,0.973,1.37,AUTO-DISPATCH OK
26516,0.991,0.45,AUTO-DISPATCH OK
45766,0.996,0.19,AUTO-DISPATCH OK
39914,0.983,0.85,AUTO-DISPATCH OK
3320,0.959,2.04,AUTO-DISPATCH OK
44388,0.992,0.41,AUTO-DISPATCH OK
15726,0.996,0.18,AUTO-DISPATCH OK
46516,0.925,3.74,AUTO-DISPATCH OK
40294,0.994,0.31,AUTO-DISPATCH OK
49032,0.995,0.24,AUTO-DISPATCH OK
10885,0.972,1.38,AUTO-DISPATCH OK
12017,0.998,0.1,AUTO-DISPATCH OK
42954,0.952,2.4,AUTO-DISPATCH OK
32200,0.994,0.32,AUTO-DISPATCH OK
43033,0.988,0.6,AUTO-DISPATCH OK
18566,0.989,0.55,AUTO-DISPATCH OK
30727,0.959,2.05,AUTO-DISPATCH OK
19622,0.996,0.19,AUTO-DISPATCH OK
8533,0.995,0.26,AUTO-DISPATCH OK
8566,0.996,0.22,AUTO-DISPATCH OK
28428,0.989,0.57,AUTO-DISPATCH OK
46386,0.978,1.09,AUTO-DISPATCH OK
48015,0.985,0.75,AUTO-DISPATCH OK
17639,0.994,0.28,AUTO-DISPATCH OK
49721,0.974,1.3,AUTO-DISPATCH OK
31919,0.995,0.27,AUTO-DISPATCH OK
6888,0.994,0.28,AUTO-DISPATCH OK
34471,0.992,0.41,AUTO-DISPATCH OK
47241,0.977,1.14,AUTO-DISPATCH OK
18491,0.985,0.74,AUTO-DISPATCH OK
14228,0.907,4.63,AUTO-DISPATCH OK
22123,0.987,0.63,AUTO-DISPATCH OK
39250,0.99,0.52,AUTO-DISPATCH OK
8111,0.959,2.07,AUTO-DISPATCH OK
39226,0.996,0.2,AUTO-DISPATCH OK
18322,0.995,0.23,AUTO-DISPATCH OK
10755,0.995,0.26,AUTO-DISPATCH OK
20939,0.997,0.14,AUTO-DISPATCH OK
26636,0.993,0.36,AUTO-DISPATCH OK
39087,0.993,0.37,AUTO-DISPATCH OK
4566,0.996,0.21,AUTO-DISPATCH OK
37204,0.997,0.14,AUTO-DISPATCH OK
13146,0.993,0.34,AUTO-DISPATCH OK
5813,0.995,0.24,AUTO-DISPATCH OK
43916,0.991,0.44,AUTO-DISPATCH OK
46486,0.992,0.39,AUTO-DISPATCH OK
47628,0.995,0.25,AUTO-DISPATCH OK
30738,0.994,0.29,AUTO-DISPATCH OK
41418,0.995,0.24,AUTO-DISPATCH OK
28466,0.995,0.25,AUTO-DISPATCH OK
28587,0.995,0.24,AUTO-DISPATCH OK
41768,0.987,0.67,AUTO-DISPATCH OK
8636,0.994,0.31,AUTO-DISPATCH OK
31928,0.958,2.1,AUTO-DISPATCH OK
14156,0.991,0.47,AUTO-DISPATCH OK
24331,0.961,1.95,AUTO-DISPATCH OK
44275,0.985,0.73,AUTO-DISPATCH OK
24411,0.959,2.06,AUTO-DISPATCH OK
13714,0.968,1.61,AUTO-DISPATCH OK
12686,0.974,1.28,AUTO-DISPATCH OK
44433,0.986,0.7,AUTO-DISPATCH OK
32933,0.985,0.75,AUTO-DISPATCH OK
20401,0.997,0.15,AUTO-DISPATCH OK
19723,0.997,0.15,AUTO-DISPATCH OK
40731,0.993,0.33,AUTO-DISPATCH OK
20861,0.984,0.82,AUTO-DISPATCH OK
6535,0.981,0.96,AUTO-DISPATCH OK
5443,0.977,1.16,AUTO-DISPATCH OK
4013,0.992,0.41,AUTO-DISPATCH OK
16296,0.99,0.51,AUTO-DISPATCH OK
21480,0.971,1.45,AUTO-DISPATCH OK
1953,0.976,1.2,AUTO-DISPATCH OK
48566,0.995,0.27,AUTO-DISPATCH OK
35683,0.995,0.23,AUTO-DISPATCH OK
205,0.997,0.17,AUTO-DISPATCH OK
40660,0.994,0.28,AUTO-DISPATCH OK
45936,0.99,0.52,AUTO-DISPATCH OK
31676,0.968,1.59,AUTO-DISPATCH OK
932,0.991,0.47,AUTO-DISPATCH OK
46817,0.995,0.27,AUTO-DISPATCH OK
21004,0.914,4.31,AUTO-DISPATCH OK
28063,0.997,0.16,AUTO-DISPATCH OK
17676,0.993,0.34,AUTO-DISPATCH OK
42810,0.996,0.21,AUTO-DISPATCH OK
4513,0.969,1.55,AUTO-DISPATCH OK
39638,0.973,1.35,AUTO-DISPATCH OK
47137,0.997,0.13,AUTO-DISPATCH OK
29457,0.992,0.39,AUTO-DISPATCH OK
42618,0.96,2.02,AUTO-DISPATCH OK
24760,0.985,0.76,AUTO-DISPATCH OK
12436,0.991,0.47,AUTO-DISPATCH OK
23810,0.995,0.26,AUTO-DISPATCH OK
3362,0.932,3.38,AUTO-DISPATCH OK
646,0.996,0.22,AUTO-DISPATCH OK
14329,0.99,0.52,AUTO-DISPATCH OK
16625,0.978,1.1,AUTO-DISPATCH OK
3063,0.989,0.56,AUTO-DISPATCH OK
3793,0.996,0.21,AUTO-DISPATCH OK
37433,0.979,1.03,AUTO-DISPATCH OK
25621,0.996,0.22,AUTO-DISPATCH OK
26771,0.994,0.32,AUTO-DISPATCH OK
25566,0.993,0.36,AUTO-DISPATCH OK
41772,0.981,0.93,AUTO-DISPATCH OK
26262,0.961,1.95,AUTO-DISPATCH OK
26232,0.987,0.65,AUTO-DISPATCH OK
9730,0.986,0.72,AUTO-DISPATCH OK
10036,0.982,0.88,AUTO-DISPATCH OK
31653,0.993,0.34,AUTO-DISPATCH OK
30311,0.96,2.02,AUTO-DISPATCH OK
8990,0.994,0.3,AUTO-DISPATCH OK
2330,0.985,0.77,AUTO-DISPATCH OK
43959,0.996,0.18,AUTO-DISPATCH OK
36032,0.978,1.08,AUTO-DISPATCH OK
8343,0.985,0.73,AUTO-DISPATCH OK
8758,0.965,1.74,AUTO-DISPATCH OK
32067,0.994,0.31,AUTO-DISPATCH OK
27041,0.99,0.5,AUTO-DISPATCH OK
27066,0.999,0.06,AUTO-DISPATCH OK
8853,0.993,0.37,AUTO-DISPATCH OK
442,0.948,2.61,AUTO-DISPATCH OK
2963,0.985,0.74,AUTO-DISPATCH OK
40568,0.997,0.14,AUTO-DISPATCH OK
26447,0.997,0.17,AUTO-DISPATCH OK
31429,0.941,2.97,AUTO-DISPATCH OK
12897,0.993,0.33,AUTO-DISPATCH OK
6989,0.958,2.1,AUTO-DISPATCH OK
14379,0.953,2.36,AUTO-DISPATCH OK
8027,0.977,1.15,AUTO-DISPATCH OK
13874,0.992,0.42,AUTO-DISPATCH OK
26697,0.988,0.6,AUTO-DISPATCH OK
4998,0.878,6.08,AUTO-DISPATCH OK
48175,0.979,1.04,AUTO-DISPATCH OK
16923,0.926,3.72,AUTO-DISPATCH OK
14186,0.953,2.37,AUTO-DISPATCH OK
40773,0.961,1.95,AUTO-DISPATCH OK
19422,0.992,0.39,AUTO-DISPATCH OK
48435,0.994,0.32,AUTO-DISPATCH OK
30815,0.992,0.38,AUTO-DISPATCH OK
11019,0.989,0.54,AUTO-DISPATCH OK
45939,0.996,0.18,AUTO-DISPATCH OK
46155,0.996,0.21,AUTO-DISPATCH OK
35690,0.994,0.29,AUTO-DISPATCH OK
24287,0.996,0.19,AUTO-DISPATCH OK
27923,0.988,0.6,AUTO-DISPATCH OK
10466,0.993,0.33,AUTO-DISPATCH OK
38166,0.992,0.39,AUTO-DISPATCH OK
537,0.994,0.3,AUTO-DISPATCH OK
34393,0.997,0.15,AUTO-DISPATCH OK
17801,0.995,0.27,AUTO-DISPATCH OK
30217,0.961,1.97,AUTO-DISPATCH OK
14635,0.921,3.93,AUTO-DISPATCH OK
19060,0.98,1.01,AUTO-DISPATCH OK
22507,0.997,0.17,AUTO-DISPATCH OK
19453,0.997,0.17,AUTO-DISPATCH OK
34992,0.93,3.51,AUTO-DISPATCH OK
47285,0.957,2.17,AUTO-DISPATCH OK
28998,0.949,2.57,AUTO-DISPATCH OK
39401,0.983,0.84,AUTO-DISPATCH OK
48407,0.995,0.25,AUTO-DISPATCH OK
47118,0.976,1.22,AUTO-DISPATCH OK
19811,0.996,0.2,AUTO-DISPATCH OK
14787,0.997,0.16,AUTO-DISPATCH OK
17112,0.992,0.39,AUTO-DISPATCH OK
37717,0.994,0.3,AUTO-DISPATCH OK
1984,0.988,0.62,AUTO-DISPATCH OK
465,0.979,1.03,AUTO-DISPATCH OK
9672,0.995,0.27,AUTO-DISPATCH OK
36511,0.992,0.41,AUTO-DISPATCH OK
30245,0.993,0.35,AUTO-DISPATCH OK
9907,0.993,0.37,AUTO-DISPATCH OK
6366,0.971,1.43,AUTO-DISPATCH OK
35462,0.996,0.21,AUTO-DISPATCH OK
26363,0.993,0.36,AUTO-DISPATCH OK
5487,0.924,3.8,AUTO-DISPATCH OK
13066,0.947,2.66,AUTO-DISPATCH OK
22583,0.992,0.39,AUTO-DISPATCH OK
28176,0.995,0.27,AUTO-DISPATCH OK
37284,0.989,0.57,AUTO-DISPATCH OK
11772,0.971,1.46,AUTO-DISPATCH OK
26259,0.997,0.15,AUTO-DISPATCH OK
13114,0.995,0.24,AUTO-DISPATCH OK
11138,0.958,2.12,AUTO-DISPATCH OK
4092,0.994,0.29,AUTO-DISPATCH OK
48434,0.883,5.84,AUTO-DISPATCH OK
33185,0.992,0.41,AUTO-DISPATCH OK
37466,0.997,0.14,AUTO-DISPATCH OK
12787,0.993,0.34,AUTO-DISPATCH OK
46610,0.992,0.42,AUTO-DISPATCH OK
32092,0.995,0.26,AUTO-DISPATCH OK
10787,0.997,0.14,AUTO-DISPATCH OK
20414,0.991,0.46,AUTO-DISPATCH OK
16770,0.966,1.7,AUTO-DISPATCH OK
48055,0.977,1.14,AUTO-DISPATCH OK
1878,0.993,0.35,AUTO-DISPATCH OK
37622,0.997,0.16,AUTO-DISPATCH OK
46775,0.995,0.26,AUTO-DISPATCH OK
25316,0.996,0.2,AUTO-DISPATCH OK
48830,0.993,0.36,AUTO-DISPATCH OK
25295,0.922,3.91,AUTO-DISPATCH OK
22552,0.994,0.31,AUTO-DISPATCH OK
27706,0.994,0.31,AUTO-DISPATCH OK
43029,0.989,0.55,AUTO-DISPATCH OK
19718,0.937,3.15,AUTO-DISPATCH OK
45564,0.978,1.11,AUTO-DISPATCH OK
8422,0.997,0.16,AUTO-DISPATCH OK
16004,0.994,0.31,AUTO-DISPATCH OK
46384,0.993,0.33,AUTO-DISPATCH OK
22146,0.975,1.27,AUTO-DISPATCH OK
42407,0.974,1.32,AUTO-DISPATCH OK
39378,0.993,0.34,AUTO-DISPATCH OK
45783,0.996,0.18,AUTO-DISPATCH OK
15615,0.986,0.72,AUTO-DISPATCH OK
36870,0.974,1.32,AUTO-DISPATCH OK
39703,0.998,0.12,AUTO-DISPATCH OK
323,0.981,0.93,AUTO-DISPATCH OK
8867,0.949,2.57,AUTO-DISPATCH OK
26546,0.998,0.12,AUTO-DISPATCH OK
48162,0.982,0.92,AUTO-DISPATCH OK
33212,0.976,1.2,AUTO-DISPATCH OK
30337,0.998,0.12,AUTO-DISPATCH OK
8726,0.994,0.32,AUTO-DISPATCH OK
31094,0.992,0.41,AUTO-DISPATCH OK
467,0.991,0.46,AUTO-DISPATCH OK
20969,0.995,0.27,AUTO-DISPATCH OK
