withdrawal_zone,withdrawal_lat,withdrawal_lon
10.1_77.5,10.12364,77.498189
10.1_77.7,10.097303,77.652323
10.2_77.5,10.155946,77.514841
10.2_78.2,10.204582,78.186326
10.3_76.9,10.320373,76.88198
10.3_77.1,10.285535,77.099538
10.3_78.4,10.283136,78.393852
10.4_76.3,10.445276499999999,76.2870925
10.4_77.0,10.380263500000002,77.027702
10.4_77.2,10.360968,77.199634
10.4_77.7,10.374987,77.727414
10.4_78.0,10.406693,78.015206
10.4_78.1,10.39795,78.100307
10.4_78.3,10.396673,78.267675
10.4_78.5,10.429456,78.528874
10.5_77.9,10.4670245,77.8698885
10.5_78.3,10.485546,78.33188
10.5_78.8,10.499863,78.77226300000001
10.6_76.4,10.5803695,76.3797945
10.6_76.6,10.610705,76.626882
10.6_77.5,10.578769,77.546908
10.6_77.7,10.568974,77.651592
10.7_76.6,10.723348,76.617668
10.7_76.8,10.726514,76.7774515
10.7_76.9,10.694344,76.887179
10.7_77.5,10.6557445,77.47745499999999
10.7_77.7,10.701425,77.682855
10.7_79.2,10.668511,79.191507
10.7_79.4,10.678587,79.437659
10.8_75.7,10.847911,75.741336
10.8_76.0,10.780506,76.042667
10.8_76.5,10.842068,76.500852
10.8_76.6,10.784627,76.615221
10.8_77.0,10.785948,76.979087
10.8_77.4,10.813968,77.416307
10.8_77.8,10.775327,77.820642
10.8_77.9,10.776521,77.900126
10.8_78.4,10.7762,78.408064
10.8_79.2,10.812673,79.246823
10.9_75.9,10.86215,75.916125
10.9_76.6,10.874746,76.641021
10.9_76.7,10.936965,76.720374
10.9_76.8,10.923284,76.767062
10.9_76.9,10.902939,76.879352
10.9_77.4,10.937587,77.412861
10.9_77.7,10.910102,77.668794
10.9_77.8,10.934565,77.8087565
10.9_78.1,10.876548,78.078942
10.9_78.3,10.882117,78.270653
10.9_78.5,10.941512,78.511866
10.9_79.2,10.903836,79.168446
10.9_79.3,10.935788,79.317118
11.0_75.7,10.976909500000001,75.7147365
11.0_75.9,11.019382,75.928979
11.0_76.2,10.959564,76.220207
11.0_76.5,11.037404,76.501568
11.0_76.9,11.027571,76.889393
11.0_77.5,11.013484,77.46955
11.0_77.9,10.954962,77.927729
11.0_78.3,11.005725,78.29672
11.0_78.5,10.989222999999999,78.50227749999999
11.0_78.9,10.95745,78.852479
11.1_75.5,11.073218,75.485546
11.1_75.7,11.090504,75.662355
11.1_76.0,11.100015,76.019366
11.1_76.4,11.104354,76.444593
11.1_76.5,11.099922999999999,76.503559
11.1_76.6,11.07246,76.625476
11.1_77.2,11.138565,77.158526
11.1_77.4,11.0719305,77.407881
11.1_77.5,11.093163,77.524722
11.1_77.7,11.095909666666666,77.66271666666667
11.1_77.8,11.122526,77.80301225
11.1_77.9,11.147811,77.880176
11.1_78.3,11.142927,78.270126
11.1_78.4,11.083029,78.394305
11.1_78.5,11.141064,78.457319
11.1_79.6,11.109602,79.586443
11.1_79.7,11.114924,79.667976
11.2_75.4,11.22649,75.411233
11.2_75.7,11.173093,75.681325
11.2_76.0,11.227813,76.020418
11.2_76.9,11.217091,76.854226
11.2_77.0,11.189744,76.956583
11.2_77.1,11.222715,77.096673
11.2_77.7,11.218129,77.718076
11.2_77.8,11.210037,77.750924
11.2_77.9,11.193605000000002,77.8533365
11.2_78.3,11.226461,78.330209
11.2_78.6,11.150995,78.620476
11.2_78.8,11.1513,78.808302
11.2_79.3,11.249778,79.338651
11.2_79.5,11.240722,79.482921
11.2_79.6,11.19033,79.630481
11.2_79.8,11.234249,79.81045
11.3_75.4,11.27864,75.373958
11.3_75.7,11.314561,75.70287
11.3_75.8,11.254272,75.789869
11.3_76.0,11.294436,76.044461
11.3_76.2,11.2962235,76.20935399999999
11.3_76.6,11.310035,76.570894
11.3_76.9,11.295238,76.949949
11.3_77.1,11.280181,77.147565
11.3_77.3,11.318541,77.2553245
11.3_77.7,11.325507,77.677014
11.3_77.9,11.254288500000001,77.8532145
11.3_78.1,11.321864,78.050754
11.3_78.4,11.251371,78.362697
11.3_78.8,11.346653,78.836543
11.3_78.9,11.2879905,78.866081
11.3_79.0,11.337953,79.000667
11.3_79.2,11.280329,79.216077
11.3_79.5,11.283273,79.542583
11.3_79.8,11.342404,79.834831
11.4_75.3,11.449044,75.325394
11.4_75.5,11.444605,75.476938
11.4_75.6,11.359892,75.571189
